cluster_id,profile_file,row_in_file,radius_deg,radius_arcsec,pm_disp_p02_masyr,pm_disp_p16_masyr,pm_disp_p50_masyr,pm_disp_p84_masyr,pm_disp_p98_masyr,pm_rot_p02_masyr,pm_rot_p16_masyr,pm_rot_p50_masyr,pm_rot_p84_masyr,pm_rot_p98_masyr,pm_rot_aux_masyr
NGC0104,profiles/NGC_104_47Tuc.txt,64,0.42,1512.0,0.191053,0.193586,0.195724,0.198031,0.200304,-0.126994,-0.119001,-0.110201,-0.101393,-0.0930124,-0.137587
NGC0104,profiles/NGC_104_47Tuc.txt,65,0.426667,1536.0012000000002,0.189595,0.192173,0.194246,0.196572,0.198954,-0.124859,-0.116699,-0.107987,-0.0992083,-0.0904361,-0.135771
NGC0104,profiles/NGC_104_47Tuc.txt,66,0.433333,1559.9988,0.188187,0.190766,0.19284,0.195172,0.197675,-0.122423,-0.114515,-0.105656,-0.0969451,-0.0880178,-0.133997
NGC0104,profiles/NGC_104_47Tuc.txt,67,0.44,1584.0,0.186854,0.189399,0.1915,0.193827,0.196442,-0.11991,-0.112213,-0.103342,-0.0946326,-0.0859578,-0.132264
NGC0104,profiles/NGC_104_47Tuc.txt,68,0.446667,1608.0012,0.185547,0.188067,0.1902,0.192579,0.19516,-0.117515,-0.109822,-0.10099,-0.0921657,-0.083474,-0.130571
NGC0104,profiles/NGC_104_47Tuc.txt,69,0.453333,1631.9987999999998,0.184191,0.186786,0.188978,0.191398,0.193978,-0.115541,-0.107505,-0.0986035,-0.0897584,-0.0811583,-0.128917
NGC0104,profiles/NGC_104_47Tuc.txt,70,0.46,1656.0,0.182931,0.185589,0.187786,0.190196,0.192881,-0.11345,-0.105305,-0.0961716,-0.0872625,-0.0788453,-0.127301
NGC0104,profiles/NGC_104_47Tuc.txt,71,0.466667,1680.0012,0.181759,0.184372,0.186648,0.189124,0.191894,-0.111041,-0.103058,-0.0938488,-0.0849929,-0.0765309,-0.125721
NGC0104,profiles/NGC_104_47Tuc.txt,72,0.473333,1703.9988,0.180519,0.183185,0.185576,0.188096,0.190963,-0.10902,-0.100749,-0.0914507,-0.0826753,-0.0739342,-0.124176
NGC0104,profiles/NGC_104_47Tuc.txt,73,0.48,1728.0,0.179362,0.181999,0.184497,0.187091,0.190086,-0.106919,-0.0984013,-0.0891784,-0.0802841,-0.0709829,-0.122666
NGC0104,profiles/NGC_104_47Tuc.txt,74,0.486667,1752.0012000000002,0.17817,0.180855,0.183486,0.186151,0.189262,-0.105164,-0.0961843,-0.0869122,-0.0777661,-0.0683771,-0.12119
NGC0104,profiles/NGC_104_47Tuc.txt,75,0.493333,1775.9988,0.176977,0.179784,0.182528,0.185266,0.188419,-0.103326,-0.0940647,-0.0847431,-0.075247,-0.065909,-0.119746
NGC0104,profiles/NGC_104_47Tuc.txt,76,0.5,1800.0,0.175954,0.178739,0.181594,0.184479,0.187681,-0.101356,-0.0919356,-0.082356,-0.0728452,-0.0632812,-0.118333
NGC0104,profiles/NGC_104_47Tuc.txt,77,0.506667,1824.0012,0.174937,0.177744,0.180691,0.183714,0.186993,-0.0994378,-0.0898574,-0.0802017,-0.0701875,-0.06029,-0.116951
NGC0104,profiles/NGC_104_47Tuc.txt,78,0.513333,1847.9988,0.173818,0.176805,0.179853,0.183012,0.186395,-0.0979851,-0.0878502,-0.0780016,-0.0676673,-0.0574981,-0.115599
NGC0104,profiles/NGC_104_47Tuc.txt,79,0.52,1872.0,0.17279,0.17587,0.179071,0.182343,0.185818,-0.0963912,-0.0859126,-0.075772,-0.0651989,-0.0544334,-0.114275
NGC0104,profiles/NGC_104_47Tuc.txt,80,0.526667,1896.0012,0.17185,0.175003,0.178325,0.181744,0.185376,-0.095076,-0.0842915,-0.0737287,-0.0627385,-0.0516333,-0.11298
NGC0104,profiles/NGC_104_47Tuc.txt,81,0.533333,1919.9988,0.17086,0.174183,0.177619,0.181156,0.184944,-0.093656,-0.0825458,-0.0715841,-0.0603148,-0.0489035,-0.111712
NGC0104,profiles/NGC_104_47Tuc.txt,82,0.54,1944.0,0.169984,0.173375,0.176944,0.180634,0.184477,-0.0924734,-0.0808105,-0.0696022,-0.0579624,-0.0459261,-0.11047
NGC0104,profiles/NGC_104_47Tuc.txt,83,0.546667,1968.0012,0.169174,0.172645,0.176293,0.180196,0.184056,-0.0911075,-0.0793557,-0.067586,-0.0557259,-0.0432792,-0.109254
NGC0104,profiles/NGC_104_47Tuc.txt,84,0.553333,1991.9988,0.168332,0.171926,0.175712,0.179778,0.183707,-0.0898505,-0.0778739,-0.0656753,-0.0534701,-0.0407792,-0.108062
NGC0104,profiles/NGC_104_47Tuc.txt,85,0.56,2016.0,0.167566,0.171244,0.175186,0.179355,0.183404,-0.0888011,-0.0763971,-0.0638562,-0.051361,-0.0384389,-0.106895
NGC0104,profiles/NGC_104_47Tuc.txt,86,0.566667,2040.0012,0.166862,0.170605,0.174659,0.179022,0.183113,-0.0879537,-0.0750206,-0.0623334,-0.0493499,-0.0361087,-0.105752
NGC0104,profiles/NGC_104_47Tuc.txt,87,0.573333,2063.9988,0.166147,0.170043,0.174168,0.178729,0.182933,-0.0869292,-0.0737112,-0.060712,-0.0475359,-0.0340112,-0.104632
NGC0104,profiles/NGC_104_47Tuc.txt,88,0.58,2088.0,0.165564,0.169516,0.173711,0.178439,0.182589,-0.0860895,-0.0724054,-0.0592029,-0.0456284,-0.031893,-0.103533
NGC0104,profiles/NGC_104_47Tuc.txt,89,0.586667,2112.0012,0.164975,0.169018,0.173299,0.178174,0.182373,-0.0852641,-0.0711939,-0.0576824,-0.0440961,-0.0297608,-0.102457
NGC0104,profiles/NGC_104_47Tuc.txt,90,0.593333,2135.9988,0.164435,0.168546,0.172927,0.177978,0.182202,-0.0843554,-0.0701069,-0.0562356,-0.0423929,-0.0279262,-0.101401
